schoolname,city,state
Champaign Central High School,Champaign,IL
Aztec High School,Aztec,NM
Salem High School,Virginia Beach,VA
Bath High School,Lima,OH
Booksin Elementary School,San Jose,CA
Manual High School,Denver,CO
North Side High School,Jackson,TN
Lake Minneola High School,Minneola,FL
Rancho Tehama Elementary School,Rancho Tehama Reserve,CA
Lakeview Academy,Milledgeville,GA
Benjamin Banneker High School,College Park,GA
Pattengill Academy,Lansing,MI
Proctor High School,Utica,NY
Start High School,Toledo,OH
Kernersville Elementary School,Kernersville,NC
Charlotte School Bus,Charlotte,NC
Purchase Line Elementary School,Commodore,PA
Lees Summit North High School,Lees Summit,MO
Sun Valley High School,Los Angeles,CA
Southern Middle School,Lexington,KY
Mattoon High School,Mattoon,IL
Freeman High School,Rockford,WA
Columbus Scioto 6-12,Columbus,OH
North Little Rock High School,North Little Rock,AR
Arroyo Valley High School,San Bernardino,CA
Lithia Spring High,Lithia Springs,GA
Hudson County School Bus,Hudson,NY
Bazemore-Hyder Stadium (Valdosta High School),Valdosta,GA
Spanish Fork High School,Spanish Fork,UT
Hickman Academy Preparatory School,Milwaukee,WI
Wilson High School,Florence,SC
Warren Elementary School,Chicago,IL
McLain High School,Tulsa,OK
McMillan Middle School,Omaha,NE
Greensboro High School,Greensboro,AL
Kerbyville High School,Kirbyville,TX
Moss Bluff Elementary School,Lake Charles,LA
Menlo Park Elementary School,Portland,OR
Booker T. Washington High School,Tulsa,OK
North Park Elementary School,San Bernardino,CA
Linton Middle School,Penn Hills,PA
King City High School,King City,CA
Maplewood Middle School,Maplewood,MN
Scotlandville Magnet High School,Baton Rouge,LA
Thomas G Scullen Middle School,Naperville,IL
West Liberty-Salem High School,West Liberty,OH
Franklin County Elementary School,Eastpoint,FL
Alexander City Middle School,Alexander City,AL
Lake Forest South Elementary School,Harrington,DE
Samuel W. Wolfson High School,Jacksonville,FL
Hug High School,Reno,NV
Bayless High School,St. Louis,MO
Mueller Park Junior High School,Bountiful,UT
Crossroads Elementary School,St. Paul,MN
Bay City Western High School,Auburn,MI
Berthoud High School,Berthoud,CO
Grand Junction High School,Grand Junction,CO
Union Middle School,Sandy,UT
June Jordan High School for Equity,San Francisco,CA
Linden McKinley STEM Academy,Columbus,OH
Vigor High School,Mobile,AL
Dunbar HIgh School,Fort Worth,TX
Christ of King Jesuit College Prep (bus),Chicago,IL
Sycamore Middle School,Pleasant View,TN
Townville Elementary School,Townville,SC
Elder High School,Cincinnati,OH
T A Wilson Academy (bus),Jackson,MS
Small Athletic Field (William Penn Senior High School game),York,PA
Cedar Rapids Jefferson High School,Cedar Rapids,IA
Alpine High School,Alpine,TX
Detroit Collegiate Preparatory High School,Detroit,MI
McClain High School,Tulsa,OK
Southridge High School,Miami,FL
Wedgewood Middle School,Columbus,OH
Ava High School,Ava,MO
Woodrow Wilson Junior High School,Hanford,CA
Mcnair Elementary School,Chicago,IL
Jeremiah Burke High School,Dorchester,MA
Augusta High School,Augusta,KS
Southside High School,Greenville,SC
Robert Stuart Middle School,Twin Falls,ID
Oscar Patterson Elementary School,Panama City,FL
High Point High School,Beltsville,MD
East High School,Pueblo,CO
Kimball High School,Dallas,TX
Antigo High School,Antigo,WI
Madison High School,Middletown,OH
Palestine High School,Palestine,TX
Chester High School (bus),Chester,PA
Rock Crusher Elementary School,Homosassa,FL
Independence High School,Glendale,AZ
Muskegon Heights High School,Muskegon Heights,MI
Benjamin Franklin High School,Philadelphia,PA
Lawrence Central High School,Indianapolis,IN
Northwestern Community High School,Indianapolis,IN
Harmony Grove High School,Benton,AR
Central Middle School,Dover,DE
West High School,Wichita,KS
Nathaniel “Traz” Powell Stadium (high school game),Miami,FL
Sulphur Rock Magnet School,Sulphur Rock,AR
Vereen School,Moultrie,GA
Ed White Middle School,San Antonio,TX
Karen Wagner High School,San Antonio,TX
Harrisburg High School,Harrisburg,SD
Central Elementary School,Stateville,NC
Northside High School,Lafayette,LA
Newberg High School,Newberg,OR
W S Hornsby Elementary School,Augusta,GA
William Velasquez Elementary School,Richmond,TX
Paradise High School,Paradise,TX
Elolf Elementary School,Converse,TX
Coppell Middle School East,Dallas,TX
John Jay High School,San Antonio,TX
Sarah J. Rawson Elementary School,Hartford,CT
Fort Calhoun Elementary School,Fort Calhoun,NE
South Macon Elementary School,Franklin,NC
Everglades City School,Everglades City,FL
Southwestern Classical Academy,Flint,MI
Duval County School Bus,Jacksonville,FL
Robinson High School,Robinson,TX
Unknown School (bus),Jacksonville,FL
Corona del Sol High School,Tempe,AZ
Conyers Middle School,Conyers,GA
Willow Elementary School,Cleveland,OH
Dr. Gustavus Brown Elementary School,Waldorf,MD
North Thurston High School,Lacey,WA
Ruth Deskin Elementary School,Las Vegas,NV
Seguin High School,Seguin,TX
Pershing Elementary School,University City,MO
Tenaya Middle School,Merced,CA
Lawson Elementary School,Little Rock,AR
Frederick High School,Frederick,MD
Hand in Hand Montessori,Roseville,MN
Royal Live Oaks Academy,Hardeeville,SC
Vanguard High School,Ocala,FL
Wisconsin Lutheran High School,Milwaukee,WI
Godfrey Lee High School,Wyoming,MI
Benton Elementary School,Waterville,ME
Sunnyside Elementary School,Pittsburgh,PA
Miami Carol City High School,Miami,FL
Marysville Pilchuck High School,Marysville,WA
Lakewood Stadium (Mays High School Game),Atlanta,GA
A Maceo Walker Middle School,Memphis,TN
Langston Hughes High School,Fairburn,GA
Albemarle High School,Albemarle,NC
Fern Creek Traditional High School,Louisville,KY
West High School,Manchester,NH
North High School,Des Moines,IA
Westbrook Elementary School,Taylorsville,UT
Greenwood Lakes Middle School,Lake Mary,FL
Stellar Leadership Academy,Miami,FL
Saunders Elementary School,Newport News,VA
Heather Ridge High School,Fredrick,MD
Kelly High School,Benton,MO
Reynolds High School,Troutdale,OR
Clarke Street Elementary School,Milwaukee,WI
John F. Kennedy High School,Richmond,CA
Horizon Elementary School,Everett,WA
St. Mary Catholic School,Griffith,IN
East English Village Preparatory Academy,Detroit,MI
Liberty Elementary School,Columbus,OH
D H Conley High School,Greenville,NC
Unknown School (bus),Newark,NJ
Academy of Knowledge Preschool,Miami,FL
Madison Parish High School,Tallulah,LA
Raytown Success Academy,Raytown,MI
Charles F. Brush High School,Lyndhurt,OH
Salisbury High School,Salisbury,NC
Bend High School,Bend,OR
President Theodore Roosevelt High,Honolulu,HI
Rebound High School,Carbondale,IL
Delaware Valley Charter School,Philadelphia,PA
King Elementary School,Lancaster,PA
Berrendo Middle School,Roswell,NM
St. James High School,Baton Rouge,LA
Hillhouse High School,New Haven,CT
Liberty Technology Magnet High School,Jackson,TN
Edison High School,Fresno,CA
Arapahoe High School,Centennial,CO
West Orange High School,Winter Garden,FL
Brashear High School,Pittsburgh,PA
Stephenson High School,Lithonia,GA
Algona High School,Algona,IA
Newman Elementary School,Chino,CA
Sparks Middle School,Sparks,NV
Lanier High School,Austin,TX
Agape Christian Academy,Pine Hills,FL
Winnisquam Regional School District,Sanbornton,NH
New Gloucester High School,Gray,ME
Roosevelt High School,Chicago,IL
Carver High School,Winston-Salem,NC
North Panola High School,Sardis,MS
Westside Elementary School,Memphis,TN
Ronald E. McNair Discovery Learning Academy,Decatur,GA
Northwest High School,Clarksville,TN
Hidden Valley Elementary School,Charlotte,NC
Redland Middle School,Homestead,FL
Ossie Ware Mitchell Middle School,Birmingham,AL
Tularosa Elementary School,Tularosa,NM
La Salle High School,Cincinnati,OH
Temple High School,Temple,TX
Davidson Middle School,Southgate,MI
Grady High School,Atlanta,GA
Hillside Elementary School,San Leandro,CA
Martin Luther King High School,Detroit,MI
Price Middle School,Atlanta,GA
Dale County School Bus,Midland City,AL
Osborn High School,Detroit,MI
Taft Union High School,Taft,CA
Apostolic Revival Center Christian School,Fort Myers,FL
Sandy Hook Elementary School,Newtown,CT
Spring Woods High School,Houston,TX
Banner Academy South,Chicago,IL
Fairmount Public School,Fairmont,ND
Stillwater Junior High School,Stillwater,OK
Normal Community High School,Normal,IL
Perry Hall High School,Perry Hall,MD
Banks County High School,Homer,GA
Hamilton High School,Memphis,TN
Nathaniel Greene Elementary School,Pawtucket,RI
Mary Scroggs Elementary School,Chapel Hill,NC
West View High School,Avondale,AZ
Kirksey Middle School,Rogers,AR
LeFlore High School,Mobile,AL
Episcopal School of Jacksonville,Jacksonville,FL
Chardon High School,Chardon,OH
Armin Jahr Elementary School,Bremerton,WA
Walpole Elementary School,Walpole,NH
Cummings Middle School,Brownsville,TX
Northern High School,Flint,MI
Harwell Middle School,Edinburg,TX
Cape Fear High School,Fayetteville,NC
Wilson High School,Portland,OR
Issaquah High School,Seattle,WA
Highlands Intermediate School,Pearl City,HI
Betsy Ross Elementary School,Houston,TX
Sheeler Charter High School,Apopka,FL
Worthing High School,Houston,TX
Martinsville West Middle School,Martinsville,IN
Louisiana Schnell Elementary School,Placerville,CA
Gardena High School,Los Angeles,CA
Millard South High School,Omaha,NE
Crown Point School bus,Crown Point,IN
Aurora Central High School,Aurora,CO
Marinette High School,Marinette,WI
Topeka West High School,Topeka,KS
Kelly Elementary School,Carlsbad,CA
Alisal High School,Salinas,CA
Socastee High School,Conway,SC
Mumford High School,Detroit,MI
Sullivan Central High School,Blountville,TN
South Gate High School,South Gate,CA
Woodrow Wilson High School,Portsmouth,VA
Birney Elementary School,Tacoma,WA
Deer Creek Middle School,Littleton,CO
Inskip Elementary School,Knoxville,TN
Discovery Middle School,Madison,AL
Livington High School,Livington,AL
Hamilton High School (bus),West Philadelphia,PA
Wilson High School,Long Beach,CA
Carolina Forest High School,Conway,SC
Mattituck Junior-Senior High School,Mattituck,NY
Virginia Randolph Community High School,Glen Allen,VA
Stamford Academy,Stamford,CT
Westover High School,Fayetteville,NC
Aplington-Parkersburg High School,Parkersburg,IA
International Studies Academy,San Francisco,CA
Larose-Cut Off Middle School,Larose,LA
Canandaigua Academy,Canandaigua,NY
Sheboygan High School,Sheboygan,WI
Locke High School,Los Angeles,CA
Cypress Ridge High School,Houston,TX
Ribault High School,Jacksonville,FL
Robert Frost Elementary School,Sioux Falls,SD
Brien McMahon High School,Norwalk,CT
John Muir Elementary School,Hayward,CA
Central High School,Detroit,MI
School bus,Zebulon,NC
Baker Elementary School,El Monte,CA
Clayton High School,Clayton,NC
Cahokia High School,Cahokia,IL
East High School,Erie,PA
Beecher High School,Mount Morris Township,MI
Collins HIgh School,Chicago,IL
Perspectives Charter School,Chicago,IL
Dunbar High School,Chicago,IL
William Penn High School,New Castle,DE
Kennedy Elementary School,Norman,OK
Shuman Middle School,Savannah,GA
William H. Harrison Elementary School,Philadelphia,PA
Largo Middle School,Largo,FL
Summerville High School,Summerville,SC
William Floyd High School,Mastic Beach,NY
Guy B. Teachey Elementary School,Asheboro,NC
Shattuck St. Mary's Prep School,Faribault,MN
O A Peters Elementary School,Garden Grove,CA
Cole Middle School,Oakland,CA
Central Valley High School,Ceres,CA
Desert Hills High School,St. George,UT
Thompson Valley High School,Loveland,CO
Dillard High School,Fort Lauderdale,FL
El Rio Elementary School,Oxnard,CA
Bell High School,Bell,CA
Stockton Springs Elementary School,Stockton Springs,ME
Eliot Elementary School,Gilroy,CA
Prattville Christian Academy,Prattville,AL
Vasquez High School,Acton,CA
Henry Ford High School,Detroit,MI
George Washington Preparatory High School,Athens,CA
Mira Loma High School,Sacramento,CA
South High School,Willoughby,OH
Central High School,Knoxville,TN
Lakota Middle School,Federal Way,WA
Wallace Elementary School,Kelso,WA
Roosevelt High School,Fresno,CA
E O Green Junior High School,Oxnard,CA
Mitchell High School,Memphis,TN
Barnard-White Middle School,Union City,CA
Holland Patent Central High School,Holland Patent,NY
John Curtis Christian School,River Ridge,LA
SuccessTech Academy,Cleveland,OH
Platt High School,Meriden,CT
S Simon and Jude Catholic School,Phoenix,AZ
Las Plumas High School,Oroville,CA
Mount Vernon Elementary School,Newark,NJ
Carter G. Woodson Elementary School,Chicago,IL
David W. Carter High School,Dallas,TX
Broad River Elementary School,Burton,SC
North Garner Middle School,Garner,NC
Vandora Springs Elementary School,Garner,NC
Oak Haven Elementary School,Coventry,RI
Liberty Memorial Middle School,Los Fresnos,TX
West Mesquite High School,Mesquite,TX
Tidehaven High School,El Maton,TX
Gettysburg Elementary School,Dayton,OH
North Mecklenburg High School,Huntersville,NC
Springwater Trail High School,Gresham,OR
Chicago Vocational Career Academy,Chicago,IL
Myrtle Beach High School,Myrtle Beach,SC
Union Park Elementary School,Orlando,FL
East Ridge High School,Chattanooga,TN
Greenville High School,Greenville,TX
Herbert Henry Dow High School,Midland,MI
Centennial High School,Compton,CA
Clifton Elementary School,Atlanta,GA
Slauson Middle School,Azusa,CA
Stephen F. Austin Middle School,Port Arthur,TX
Crook County High School,Prineville,OR
Paxon Middle School,Jacksonville,FL
Hillcrest High School,Country Club Hills,IL
Harbin County High School,Savannah,TN
William L.Sayre High School,Philadelphia,PA
Grant High School,Van Nuys,CA
Robert A. Taft Information Technology High School,Cincinnati,OH
Northwestern High School,Detroit,MI
Henry Foss High School,Tacoma,WA
McGuffey High School,Claysville,PA
Bangor Area High School,Bangor,PA
Springfield Township High School,Springfield Township,PA
Clemente High School,Chicago,IL
Northwest High School,Omaha,NE
Jones Senior High School,Trenton,NC
Sammye E. Coan Middle School,Atlanta,GA
Lionel Wilson College Prep School,Oakland,CA
Halls High School,Knoxville,TN
Seven Lakes High School,Katy,TX
Grove Park Elementary School,Baltimore,MD
Ponoma Middle School ,Pomona,NY
Memorial Middle School,Joplin,MO
West Nickel Mines School,Nickel Mines,PA
Weston High School,Cazenovia,WI
Platte Canyon High School,Bailey,CO
Cardozo High School,Washington,DC
Westminster Christian Academy,Creve Coeur,MO
South Hills High School,Fort Worth,TX
Kingsbury Middle School,Memphis,TN
Oxford High School,Oxford,AL
Orange High School,Hillsborough,NC
Anacostia Senior High School,Washington,DC
Essex Elementary School,Essex Junction,VT
Castle High School,Newburgh,IN
Lyman Hall Elementary School,Hinesville,GA
South High School,Youngstown,OH
Mendez Middle School,Austin,TX
J T Alton Middle School,Vine Grove,KY
Young Middle Magnet School,Tampa,FL
Wirt High School,Gary,IN
Venice High School,Los Angeles,CA
Northampton Area Senior High School,Northampton,PA
Butch Fork High School,Irmo,SC
Parkway Academy,Miramar,FL
East Chapel Hill High School,Chapel Hill,NC
Westbury High School (bus),Houston,TX
Roosevelt Senior High School,Washington,DC
Pine Middle School,Reno,NV
I S 89 Middle School,New York,NY
Roseburg High School,Roseburg,OR
Westinghouse High School,Pittsburgh,PA
West York Area High School,York,PA
Longfellow Elementary School (bus),Compton,CA
C M Russell High School,Great Falls,MT
Lakeview Centennial High School,Garland,TX
Will C. Wood High School,Vacaville,CA
Withrow High School,Cincinnati,OH
Indian River High School,Chesapeake,VA
Passmore Elementary School,Alvin,TX
Fred Moodry Middle School,Anaconda,MT
Milwee Middle School,Longwood,FL
Pinson Valley High School,Pinson,AL
Mary McLeod Bethune Academy,Milwaukee,WI
Mount Pleasant High School,Wilmington,DE
Lincoln High School,Jersey City,NJ
Santiago High School,Garden Grove,CA
Boston Day and Evening Academy (High School),Roxbury,MA
Irving Middle School,San Antonio,TX
Parkway Academy Charter High School (bus),Miramar,FL
Campbell County High School,"Jacksboro, TN",TN
Farmingdale High School,Farmingdale,NY
Annapolis High School,Annapolis,MD
Birney Elementary School,Fresno,CA
Saginaw High School,Saginaw,MI
San Gorgonio High School,San Bernardino,CA
Samula Tilden High School,New York,NY
Farmington High School,Farmington,MI
Harlan Community Academy High School,Chicago,IL
Sojourner Truth High School,Jacksonville,FL
Dimond High School,Anchorage,AK
Maury Middle School,Dandridge,TN
Morrow High School,Morrow,GA
Planatation Elementary School,Bakersfield,CA
Country Day High School,Estate Concordia,VI
Weequahic High School,Newark,NJ
Bangs Avenue Elementary School,Asbury Park,NJ
Arlington High School,Poughkeepsi,NY
Academia Ana Marie Sandoval Montessori School,Denver,CO
Locust Elementary School,Marengo,IL
Highland Elementary School,Lower Allen Township,PA
Berkner High School,Richardson,TX
Daniel E. Morgan Elementary School,Cleveland,OH
Leon Godchaux Junior High School,Reserve,LA
Canton High School,Canton,TX
East High School,Memphis,TN
Fairly High School,Memphis,TN
New Utrecht High School,Brooklyn,NY
Red Lake Senior High School,Red Lake,MN
O Perry Walker High School,Algiers,LA
Carrick High School,Pittsburgh,PA
Leawood Elementary School,Columbus,OH
Zaragoza Elementary School,Dallas,TX
Maplewood Comprehensive High School,Nashville,TN
Stewart County High School (bus),Dover,TN
Bowen High School,Chicago,IL
Woodruff High School,Peoria,IL
Murrell Dobbins Vocational-Technical High School,North Philadelphia,PA
Richmond State School,Richmond,TX
La Grange High School,Lake Charles,LA
Lakeside High School,Spokane,WA
Apopka Memorial Middle School,Apopka,FL
Battery Creek High School,Beaufort,SC
Brunswick Elementary School,Gary,IN
Parker High School,Birmingham,AL
Tyrrell Elementary School,Hayward,CA
Thurgood Marshall High School,Baltimore,MD
Biggs High School,Biggs,CA
Lakewood Elementary School,Sunnyvale,CA
Newburyport High School,Newburyport,MA
Jefferson Elementary School,Grand Island,NE
Booker T. Washington High School,New Orleans,LA
Proviso East High School,Maywood,IL
Castlemont High School,Oakland,CA
West High School,Salt Lake City,UT
East Campus Educational Center,Merced,CA
Randallstown High School,Randallstown,MD
Kashmere High School,Houston,TX
Crescent Junior-Senior High School,Joyce,WA
Saledad Enrichment Action Charter High School,Los Angeles,CA
Gathway Christian Academy,St. Martinville,LA
Colonel White High School,Dayton,OH
T M Peirce Elementary School,Philadelphia,PA
Columbia High School,East Greenbush,NY
Fair Park High School,Shreveport,LA
Youens Elementary School,Houston,TX
Ballou Senior High School,Washington,DC
Fay Galloway Elementary School,Henderson,NV
Abess Park Elementary School,East Arlington,FL
Colonia High School,Woodbridge,NJ
Old Mill High School,Millersville,MD
Carbondale Community High School,Carbondale,IL
Douglas High School,Oklahoma City,OK
Fermi Elementary School,Chicago,IL
East Mecklenburg High School,Charlotte,NC
Hightower High School,Sugarland,TX
Marion High School,Marion,LA
Kenmore High School,Akron,OH
Rio Cazadero High School,Sacramento,CA
Burns Middle School,Lawndale,NC
Rocori High School,Cold Spring,MN
Lewis and Clark High School,Spokane,WA
Oklahoma Road Middle School,Eldersburg,MD
Charlestown High School,Boston,MA
Vicksburg High School,Vicksburg,MS
Rock L. Butler Middle School,Wellsboro,PA
Forest Hills High School,Johnstown,PA
Red Lion Area Junior High School,Red Lion,PA
Greenhill Middle School,Addison,TX
John McDonogh High School,New Orleans,LA
Fair Park High School,Shereveport,LA
Walnut High School,Walnut,CA
Rolling Hills Middle School,Watsonville,CA
Northeast High School,Meridian,MS
Clayton Ridge High School,Guttenberg,IA
Ranum High School,Westminster,CO
Jenks High School,Jenks,OK
West Carter Middle School,Olive Hill,KY
Englewood High School,Chicago,IL
Wind River Middle School,Carson,WA
Scurry-Rosser High School,Scurry,TX
Ambler Avenue Elementary School,Los Angeles,CA
St. James Catholic School,Liberty,MO
Benjamin Tasker Middle School,Bowie,MD
Page Middle School,San Antonio,TX
C M Russell HIgh School,Great Falls,MT
Abramson High School,New Orleans,LA
Leith Walk Elementary School,Baltimore,MD
John Barrett Middle School,Carmichael,CA
Brock High School,Brock,TX
Oley High School (bus),Oley,PA
"Martin Luther King, Jr. High School",New York,NY
Raymond High School,Jackson,MS
Friendswood Junior High School,Friendswood,TX
Caro Learning Center,Caro,MI
Benito Juarez Academy,Siginaw,MI
Redondo Union High School,Redondo Beach,CA
Taylorsville High School,Taylorsville,UT
Lake Clifton Eastern High School,Baltimore,MD
Latonia Elementary School,Covington,KY
Belmont High School,Los Angeles,CA
Ousley Junior High School,Arlington,TX
Ennis High School,Ennis,TX
John Marshall High School,Cleveland,OH
Monroe City Alternative Center,Monroe,LA
Wahluke High School,Mattawa,WA
Kleb Intermediate School,Houston,TX
Lew Wallace High School,Gary,IN
Granite Hills High School,El Cajon,CA
Kentwood High School,Covington,WA
Bishop Neumann High School,Williamsport,PA
Largo High School,Largo,MD
Santana High School,Santee,CA
Hoover High School,San Diego,CA
Hueneme High School,Oxnard,CA
Norland Elementary School,Miami,FL
Richmond High School,Richmond,CA
Junipero Serra High School,San Diego,CA
Granada Hills High School,Los Angeles,CA
Newman Smith High School,Carrollton,TX
Pioneer Elementary School,Glendale,AZ
Minneapolis North High School,Minneapolis,MN
Carter G. Woodson Middle School,New Orleans,LA
Mount Healthy North Junior High,Mount Healthy,OH
Longfellow Elementary School,Rock Island,IL
Bidwell Porter Elementary School,Bidwell,OH
Timken Senior High School,Canton,OH
Dimmitt Middle School,Renton,WA
Lake Worth Middle School,Lake Worth,FL
Carmichael Elementary School,Sierra Vista,AZ
Thomas Jefferson High School,Denver,CO
La Cima Middle School,Tucson,AZ
Hugo High School,Hugo,OK
McKinley Elementary School,Lisbon,OH
Beach High School,Savannah,GA
Buell Elementary School,Flint,MI
Duke Ellington Elementary School,Chicago,IL
Penn Wood East Junior High School,Yeadon,PA
South High School,Omaha,NE
Alicia Reyes Elementary School,Merced,CA
Erwin High School,Asheville,NC
Ridgewood High School,New Port Richey,FL
Albuquerque High School,Albuquerque,NM
Bartlett High School,Anchorage,AK
Fort Gibson Middle School,Fort Gibson,OK
Deming Middle School,Deming,NM
Dickinson High School,Dickinson,TX
Guyan Valley High School,Branchland,WV
Martin Luther King High School,Philadelphia,PA
San Fernando High School,Pacoima,CA
Clark High School,Las Vegas,NV
John Bartram High School,Philadelphia City,SD
Egypt Lake Elementary School,Tampa,FL
Santa Teresa High School,San Jose,CA
Jasper County High School,Monticello,GA
Heritage High School,Conyers,GA
Scotlandville Middle School,Baton Rouge,LA
Martin Luther King Jr. Middle School,Atlanta,GA
Columbine High School,Littleton,CO
Notus Jr. Sr. High School,Notus,ID
Niles West High School,Skokie,IL
Jefferson-Todd Educational Center,Purvis,MS
Ombudsman Educational Service Center,Elgin,IL
Richland High School,North Richland Hills,TX
Harry S. Truman High School,New York,NY
Central High School,Carrollton,GA
Ben Davis Junior High School,Indianapolis,IN
Ernie Elementary School,Gary,IN
Hancock Middle High School,Hancock,NY
North Miami High School,Miami,FL
Leesburg High School,Leesburg,FL
Herbert Hoover High School,Glendale,CA
Armstrong High School,Richmond,VA
Stranahan High School,Ft. Lauderdale,FL
Washington Middle School,Pasadena,CA
Onalaska High School,Onalaska,WA
Thurston High School,Springfield,OR
Rialta High School,Rialto,CA
Lincoln County High School,Fayetteville,TN
Public School 18,Buffalo,NY
North Miami Senior High School,Miami,FL
Pardeeville Elementary School,Pardeeville,WI
Philadelphia Elementary School,Pomona,CA
Parker Middle School,Edinboro,PA
Culver City High School,Los Angeles,CA
Oakfield Middle School,Oakfield,WI
Grey Culbreth Middle School,Chapel Hill,NC
Coldwater High School,Coldwater,MI
Fernando Rivera Middle School,Daly City,CA
Westside Middle School,Jonesboro,AR
Marshall High School,Fairfax,VA
Reed City High School,Reed City,MI
Hoboken High School,Hoboken,NJ
Stamps High School,Stamps,AR
Heath High School,West Paducah,KY
Creekside Elementary School,Sacramento,CA
John Glenn High School,Norwalk,CA
McClymonds High School,Oakland,CA
Lincoln Middle School,Palmetto,FL
Wallace High School,Gary,IN
Moore West Junior High School,Oklahoma City,OK
Pearl High School,Pearl,MS
Jefferson Davis High School,Montgomery,AL
Dunbar High School,Dayton,OH
Northwestern High School,Miami,FL
City-as-School High School,New York,NY
John Marshall High School,Los Angeles,CA
Maria Del Rey Junior High School,Mar Vista,CA
Rancho High School,Las Vegas,NV
First Coast High School,Jacksonville,FL
Bethel Regional High School,Bethel,AK
Samuel Gompers High School,Bronx,NY
Morris High School,Bronx,NY
Wingfield High School,Jackson,MS
Conniston Middle School,West Palm Beach,FL
Crown Heights High School,New York,NY
Highlands High School,Sacramento,CA
Sumner High School,St. Louis,MO
Jacksonville High School bus,Sherwood,AR
St. Bernard High School,Playa Del Rey,CA
Smedley Elementary School,Philadelphia,PA
Dekalb Alternative School,Decatur,GA
West Valley High School,Hemet,CA
Colton High School,Colton,CA
Bingham Middle School,Taylorsville,UT
McKinley High School,Washington,DC
Talladega High School,Talladega,AL
Swainston Middle School,Las Vegas,NV
North Stanley High School,New Longdon,NC
Beaumont High School (bus),St. Louis,MO
Jenkins High School,Savannah,GA
Mid-Peninsula High School,Menlo Park,CA
Frontier Middle School,Moses Lake,WA
Winston Education Center,Washington,DC
Girard High School,Girard,PA
Thomas A. Edison Vocational and Technical High School,New York,NY
Richland High School,Lynnville,TN
Blue Lake Elementary School (bus),Miami Beach,FL
John F. Kennedy High School,Richmond,VA
Lake Howell High School,Casselberry,FL
Blackville-Hilda High School,Blackville,SC
Tavares Middle School,Tavares,FL
Blount High School,Prichard,AL
George Rogers Clark High School,Winchester,KY
Olathe North High School,Olathe,KS
Cypress Junior High School,Memphis,TN
Memorial Middle School,Laredo,TX
Lake Worth High School,Lake Worth,FL
Redford High School,Detroit,MI
Chadron Middle School,Scottsbluff,NE
Jordan High School,Long Beach,CA
Spingarn High School,Washington,DC
Sacred Heart Middle School,Redlands,CA
Palm Beach Gardens High School,Palm Beach Gardens,FL
Cardozo Senior High School,Washington,DC
Stadium High School,Tacoma,WA
West Delaware High School,Manchester,IA
Wickliffe Middle School,Wickliffe,OH
Thomas Jefferson Elementary School,San Leandro,CA
Aliso Niguel High school,Aliso Veijo,CA
Hubbard High School,Chicago,IL
Grimsley High School,Greensboro,NC
Lebanon Union High School,Lebanon,OR
Sweet Home High School,Albany,NY
Hollywood High School,Los Angeles,CA
Ottumwa High School,Ottumwa,IA
Manchester Elementary School,Manchester,PA
Larry A. Ryle High School,Union,KY
Lakeland Regional High School,Wanaque,NJ
LaSalle High School,South Bend,IN
North Miami High School,North Miami,FL
J T Moore Middle School,Nashville,TN
Dickinson Middle School,South Bend,IN
Eliot Junior High School,Washington,DC
49th Street Elementary School,Los Angeles,CA
Margaret Leary Elementary School,Butte,MT
Largo High School,Upper Marlboro,MD
McNeil High School,Austin,TX
Etowah High School,Cherokee County,GA
Ballard High School,Seattle,WA
Goose Creek High School,Charleston,SC
Eastern High School,Washington,DC
Ensley High School,Birmingham,AL
Kemper Military School and College,Boonville,MO
Spartanburg High School,Spartanburg,SC
Whitman Middle School,Seattle,WA
Washington Elementary School,San Jose,CA
Paul Lawrence Dunbar High School,Washington,DC
Kennard High School,Kennard,TX
Los Altos High School,Hacienda Heights,CA
Chelsea High School,Chelsea,MI
Chatsworth High School,San Fernando Valley,CA
New Britain High School,New Britain,CT
Wauwatosa West High School,Wauwatosa,WI
Ridgely Elementary School,Springfield,IL
Bay Springs High School,Bay Springs,MS
Sullivan High School,Chicago,IL
J H Johnson Junior High School,Washington,DC
Dover High School,New Castle,DE
Coleman Junior High School,Greenville,MS
Weatherless Elementary School,Washington,DC
Central Junior High School,Sheridan,WY
Downers South High School,Downers Grove,IL
Fairfield High School,Fairfield,AL
Roosevelt High School,Dallas,TX
Junction City High School,Junction City,KS
Harper High School,Atlanta,GA
Theodore Roosevelt High School,New York,NY
Dorsey High School,Los Angeles,CA
Francis T. Nicholls High School,New Orleans,LA
Upper Perkiomen High School,Pennsburg,PA
Nimitz High School,Irving,TX
Mount Tahoma High School,Tacoma,WA
Grant High School,Sacramento,CA
Ford Middle School,Acushnet,MA
Harlem High School,Harlem,GA
Dozier Middle School,Denbigh,VA
Gloucester High School,Gloucester,MA
Reseda High School,Los Angeles,CA
Middle River Middle School,Middle River,MN
Washington-Dix Street Academy (High School),Washington,DC
Clayton High School,Atlanta,GA
Lexington High School,Lexington,SC
Garrett High School,Charleston,SC
Redmond Junior High School,Redmond,WA
Amityville High School,Amityville,NY
Fairfax High School,Los Angeles,CA
East Carter High School,Grayson,KY
Norland Senior High School,Miami,FL
Crawford County Joint Vocational Technical School,Meadville,PA
Brentwood High School,Brentwood,NY
Walton High School,Walton,NY
Woodson High School,Chicago,IL
Orr High School,Chicago,IL
